Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 14:56:28:31.07,0,-1.087186,0.7583225,-0.6269041,282.3089,36.01154,144.9085
2018-11-27 14:56:28:31.07,1,-1.347036,1.006955,-0.523637,58.86959,152.0057,160.7395
2018-11-27 14:56:28:31.07,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.11,0,-1.087222,0.7583185,-0.6269456,282.3046,35.97859,144.9412
2018-11-27 14:56:28:31.11,1,-1.354346,0.9889954,-0.5427672,62.12128,153.3933,161.6347
2018-11-27 14:56:28:31.11,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.14,0,-1.087221,0.7583416,-0.6269239,282.3096,36.02058,144.9002
2018-11-27 14:56:28:31.14,1,-1.353196,0.973882,-0.5520549,64.55639,155.7301,163.3735
2018-11-27 14:56:28:31.14,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.19,0,-1.087152,0.7583353,-0.6268868,282.3196,36.04436,144.8814
2018-11-27 14:56:28:31.19,1,-1.341078,0.9511464,-0.5578758,67.69063,162.7042,168.7414
2018-11-27 14:56:28:31.19,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.22,0,-1.087175,0.7583404,-0.626938,282.3091,35.9935,144.935
2018-11-27 14:56:28:31.22,1,-1.339404,0.9327717,-0.5676574,70.38511,170.1432,175.068
2018-11-27 14:56:28:31.22,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.26,0,-1.087171,0.7583091,-0.6269668,282.3282,36.14361,144.7845
2018-11-27 14:56:28:31.26,1,-1.33607,0.9075469,-0.5779935,73.12152,175.8011,179.182
2018-11-27 14:56:28:31.26,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.30,0,-1.08726,0.7583011,-0.6269414,282.3102,35.98694,144.9417
2018-11-27 14:56:28:31.30,1,-1.33212,0.8899645,-0.5838762,75.33693,183.445,186.4992
2018-11-27 14:56:28:31.30,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.34,0,-1.087377,0.7582959,-0.6269658,282.3298,36.1306,144.7948
2018-11-27 14:56:28:31.34,1,-1.336769,0.8694345,-0.5923629,78.0993,189.8617,192.2318
2018-11-27 14:56:28:31.34,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.38,0,-1.087384,0.7583196,-0.6269407,282.3181,36.1267,144.8228
2018-11-27 14:56:28:31.38,1,-1.336188,0.8549424,-0.5962226,79.24207,197.1215,199.091
2018-11-27 14:56:28:31.38,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.42,0,-1.087352,0.7583662,-0.6268856,282.2817,35.72096,145.2063
2018-11-27 14:56:28:31.42,1,-1.336249,0.8400466,-0.5989726,79.90489,208.136,209.5194
2018-11-27 14:56:28:31.42,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.46,0,-1.08733,0.7583933,-0.6269032,282.3037,35.84576,145.0725
2018-11-27 14:56:28:31.46,1,-1.341785,0.8323882,-0.6037344,80.45851,213.1281,214.7634
2018-11-27 14:56:28:31.46,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
